participant_id,system,task_set,vr_mode,t1_correct,t2_correct
8,2D,A,n/a,True,True
8,VR,B,desktop,True,True
7,VR,A,desktop,True,True
7,2D,B,n/a,True,True
3,VR,A,desktop,True,True
3,2D,B,n/a,True,True
1,2D,B,n/a,True,True
1,VR,A,desktop,True,False
9,VR,A,headset,True,True
9,2D,B,n/a,True,True
2,2D,A,n/a,True,True
2,VR,B,headset,True,True
5,VR,A,headset,True,True
5,2D,B,n/a,True,True
6,2D,A,n/a,True,True
6,VR,B,headset,True,True
10,2D,A,n/a,True,True
10,VR,B,headset,True,False
4,VR,A,headset,True,False
4,2D,B,n/a,True,True
