participant_id,system,condition_order,mental_demand,physical_demand,temporal_demand,performance,effort,frustration,task_duration_seconds
8,2D,1,0,0,0,10,3,0,
8,VR,2,10,6,2,9,10,4,
7,VR,1,2,0,2,3,4,0,
7,2D,2,1,0,1,1,1,2,
3,VR,1,3,0,1,3,3,0,
3,2D,2,3,0,0,2,2,0,
1,2D,1,5,0,13,5,6,4,
1,VR,2,15,7,8,10,13,13,
9,VR,1,3,5,5,5,11,12,
9,2D,2,3,2,3,4,6,4,
2,2D,1,4,0,2,5,2,2,
2,VR,2,7,8,3,4,6,3,
5,VR,1,5,3,4,4,3,11,
5,2D,2,7,0,4,5,5,3,
6,2D,1,7,0,6,5,4,6,
6,VR,2,9,7,7,8,5,9,
10,2D,1,3,0,6,4,4,0,
10,VR,2,10,10,10,10,10,13,
4,VR,1,7,2,10,12,8,6,
4,2D,2,9,5,7,13,6,8,
